date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change,hour,dow,is_weekend
2025-09-27 18:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,18,5,1
2025-09-27 18:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,18,5,1
2025-09-27 18:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,18,5,1
2025-09-27 18:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,18,5,1
2025-09-27 18:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,18,5,1
2025-09-27 18:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,18,5,1
2025-09-27 19:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,19,5,1
2025-09-27 19:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,19,5,1
2025-09-27 19:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,19,5,1
2025-09-27 19:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,19,5,1
2025-09-27 19:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,19,5,1
2025-09-27 19:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,19,5,1
2025-09-27 19:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,19,5,1
2025-09-27 19:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,19,5,1
2025-09-27 19:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,19,5,1
2025-09-27 19:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,19,5,1
2025-09-27 19:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,19,5,1
2025-09-27 19:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,19,5,1
2025-09-27 20:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,20,5,1
2025-09-27 20:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,20,5,1
2025-09-27 20:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,20,5,1
2025-09-27 20:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,20,5,1
2025-09-27 20:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,20,5,1
2025-09-27 20:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,20,5,1
2025-09-27 20:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,20,5,1
2025-09-27 20:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,20,5,1
2025-09-27 20:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,20,5,1
2025-09-27 20:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,20,5,1
2025-09-27 20:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,20,5,1
2025-09-27 20:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,20,5,1
2025-09-27 21:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,21,5,1
2025-09-27 21:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,21,5,1
2025-09-27 21:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,21,5,1
2025-09-27 21:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,21,5,1
2025-09-27 21:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,21,5,1
2025-09-27 21:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,21,5,1
